ID,MONEY_VALUE
0,$1597.00
1,"$2,000"
2,$100
3,$2450
4,$400
5,$50
6,$150
7,$1984.09
8,$60
9,$30
10,$231.81
11,#2/3
12,$30.50
13,$34
14,#5
15,"$2,359.16"
16,"$3,850"
17,$40
18,"$2,950"
19,$5400
20,$800
21,$500
22,$45
23,$2390
24,$0
25,$ back
26,$2000
27,$0.10
28,$0.11
29,$ 50
30,$ 20
31,$20.6
32,$20
33,$700
34,$750.00
35,$3800
36,$3000
37,$350.00
38,200 $
39,$500.00
40,"$8,200.00"
41,"$11,500.00"
42,"$1,150.00"
43,"$6,900.00"
44,"$15,100.00"
45,$3500
46,$85/hour
47,"$3,000"
48,$750
49,"$4,000"
50,"$6,500"
51,"$5,400.00"
52,"$2,617.50"
53,$517.50
54,$100.00
55,"$2,000.00"
56,$
57,30$/
58,$18
59,$20/hour
60,$15
61,$505
62,$200
63,$64 dollars
64,$2550
65,"$2,550"
66,$35
67,$38.40
68,$34.40
69,#2
70,#900
71,$35.55
72,40$
73,3800$
74,$2600
75,$17
76,$25.00
77,$23/hour
78,$450
79,$25.30
80,$438
81,$10
82,$490
83,$1960
84,$30.00
85,$70.000
86,$25
87,$4000
88,$97
89,80 dollars
90,$600
91,$1200
92,"$2,400"
93,$$
94,28 dollars
95,"$12,000"
96,"$9,020.58"
97,$300
98,$700 dollars
99,#140
100,$2309.00
101,$121.00
102,$40/package
103,$37
104,$3800/month
105,3 cents
106,$65
107,$2950
108,$30/hour
109,$1500
110,#1
111,$40.00
112,$ 2750.15
113,$ 200
114,$ 2100
115,$680
116,$850
117,$9.00
118,$28/hr
119,#600
120,$3480
121,#375
122,$2300
123,$22
124,$38/hr
125,$350
126,"$95,000.00"
127,"$2,500-4,500"
128,"$2,500"
129,"$4,500"
130,$2850.00
131,$2500
132,$1520
133,$19 hr
134,"$36,000"
135,"$2,450"
136,$250
137,$330
138,$3875.88
139,$600.00
140,"$5,000"
141,$28
142,$797
143,$4800.00
144,$15.75
145,$19.75
146,$55.35
147,$18.75
148,$30/hr
149,$2250
150,$3900
151,$130
152,"$2,300"
153,$1725
154,$945
155,$27/hr
156,"$1,500"
157,$eleanoranzaldua
158,$mhoefflin
159,$1100
160,$575
161,$21
162,$30per
163,"$1,950.00"
164,$75
165,$455
166,"$30,000"
167,"$90,000"
168,$27/her
169,$35/hour
170,$3500/month
171,#
172,"$70,000 year"
173,"$1,200"
174,$6100.00
175,50$
176,"$88,000"
177,$50.00
178,"$4,950"
179,$380
180,$2k
181,$12
182,$300.00
183,$1600.00
184,$5000
185,$160
186,$145
187,"$1,000"
188,few cents
189,"$110,000.00"
190,$19
191,$3750
192,$1800
193,$900
194,$110k
195,$1m
196,$10m
197,$1950.00
198,$10.00
199,$175.00
200,4000$.
201,$2750.00
202,$2200.00
203,$2340
204,$15.80
205,$24.20
206,$1000
207,$19.55
208,$35.50
209,$650
210,$3400
211,$550
212,$25/hr
213,$16/hour
214,$16.00
215,$985
216,$285
217,"$3,820"
218,$2980.00
219,$20.00
220,$ 500-id
221,$1900
222,$950
223,$8000
224,$25per
225,$15per
226,$9.25
227,$5
228,$14
229,$18.00
230,$132k
231,# 859-972-7041
232,# 859-972-7049
233,# 859-972-7050
234,# 606-886-2185
235,#3007
236,$4820
237,$212
238,"$3,100"
239,"$3,530"
240,"$4,650"
241,$4500.00
242,$1625.73
243,$100s
244,$200s
245,45 dollars
246,$225
247,$2800
248,"$3,982"
249,$199.48
250,25$ training
251,$10000
252,"$4,973"
253,$26.5
254,$48.89
255,$150.00
256,$50/package
257,$890
258,$4200
259,"$3,400"
260,thousand dollars
261,$1950.50
262,$1450.50
263,$2700
264,$2700.00
265,$98
266,5 dollars
267,$$ when
268,$$ in
269,100$
270,#300
271,$10/hour
272,$85.00
273,$5.00
274,$29.00
275,$93
276,$98.00
277,$80.00
278,"$5,000.00"
279,$3000.00
280,$2000.00
281,$995 dollars
282,$1100 dollars
283,100$ for
284,$35.47
285,"$2,340"
286,$70
287,$1k
288,$2765
289,$295
290,$180
291,$7
292,$1000 before
293,"$5,416"
294,"$1,562"
295,"$1,375"
296,"$8,353"
297,$98000/year
298,"$2,390.73"
299,$29.63
300,"$65,000"
301,"$2,630.00"
302,$2987.02
303,$2400
304,$4900
305,$12.00
306,"$10,000"
307,$ 115
308,$55
309,$540
310,$495
311,$40/bonus
312,"$3,500"
313,"$1,498"
314,$2950.85
315,"$7,272"
316,# 7
317,$1870
318,$2100.00
319,$352.61
320,"$3,850.00"
321,"$9,200.00"
322,"$17,400.00"
323,$159
324,"$5,937.87"
325,"$4,580.00"
326,#3
327,$900k
328,$7oo
329,$9065/week
330,$3000 dollars
331,$4450
332,$47
333,$vaj05
334,# 746439
335,$kassymiller96
336,# 4403 9327 8400 7295
337,$95
338,# 041 215 663
339,# 13 415 7689 5012
340,$1700
341,"$1,800"
342,#*********
343,#***
344,$35 dollars
345,"$4,000.00"
346,$3300.00
347,$2750
348,"$4,935.00"
349,# *********
350,$650.00
351,$5200
352,$2850
353,$21.75
354,450.00 dollars
355,$25/hour
356,$80
357,11.980 billion yuan
358,"2,499.75 dollars"
359,$novaking5
360,500$
361,$140
362,$18/hr
363,dollar
364,"$2,480"
365,$800k/week
366,$46
367,$260
368,$2175
369,$ 499.99
370,$225.99
371,"$4,720"
372,#151
373,# 015000001
374,$39
375,"$ 4,000"
376,3 dollars
377,"$4,858.93"
378,$1000/week
379,$$2450
380,$4499.00
381,$4490.00
382,$2215
383,$215
384,$3.500
385,$299
386,#4
387,"$8,000.00"
388,"$3,550"
389,"$2,980"
390,$480
391,$20/hr
392,$3125.13
393,$3961.43
394,$25.75
