,url,victim,scammer,date,desc,label
0,https://voxya.com/view-complaint/fraudism/117445,https://voxya.com/user-complaint/123603,https://voxya.com/company/resume-to-fill-com-complaints/1230789,"Apr 01, 2021",Mera naam Shreya hai mene freelance me I'd diya tha then usme mujhe resume to fill.com ka message aya then mene unse bt krke apna job join kiya isme mujhe *** resume fill krne ko kaha gya wo v seven days me jo ho nai paya kyuki har resume me fifteen minutes lgte hai  mene time demand kiya message me but unka kehna tha phone pe hoga then usme mere against legal action le liya aur **** dene ko kaha gya hai sir ye fraud company me bht bad review tha bd me pta hua tb tk me join ho gye.thi please sir kindly help me and solve my problem I beg you.,OPEN
1,https://voxya.com/view-complaint/non-payment-of-freelance-work/117253,https://voxya.com/user-complaint/123400,https://voxya.com/company/kiran-motors-mumbai-complaints/1230725,"Mar 30, 2021","This is regarding my pending payment from Kiran Motors Mumbai. 

I was hired as a Freelance Social Media Marketer for the Month of Sep'**. I completed the defined scope of work but still not got paid for the work. 

I have contacted customer care and my POC multiple times but they are not responding on the same. 

Please help me with my payment as I work as a freelancer and going through this lockdown is getting very tough for me and my family! 

I also have Invoice and follow up mails with Manager
",OPEN
2,https://voxya.com/view-complaint/salary-not-paid-in-full/117235,https://voxya.com/user-complaint/123304,https://voxya.com/company/kastech-group-of-companies-hyderabadb-complaints/1230700,"Mar 30, 2021","I Am Surender Nawandar, Residing In Hyderabad, Telangana), I Was Offer To Join Kastech Group Of Companies On **th March With A Capacity Of Global Delivery Head, As I Continued To Get Foot Hold Int* The Company By Meeting Variu Teams And Managers To Understadnt The Nature Of Work, I Was Aslo Tryinh To Achieve My **-**-** Day Target, To My Aghst They Terminated Me On **th Feb Witout Any Notice ( Contract Says FTE Should Be Goven * Months Notice On Both Sides, But This Termination Was Just On A Phone Call By HR Head Shaheen Sultana, Now They Claim Top Ay Me Only Half Of My Salary Which Is ** Thousand And I Demand Full Salary As I Worked Even When I Was IN Leave And **-** Hours On An Average
(They Have The Record For It), The Only Reason They Ar Quoting That I Was Not Attending Meetings But I Could Not As My Credentials Were Disabled., Please Help Me Get My Compensation, I Am Attaching My Offer Letter To You So That You Can Better Understanding Yu Can Call Me Any Time (Surender Nawandar **********)",OPEN
3,https://voxya.com/view-complaint/fake-job/116536,https://voxya.com/user-complaint/122676,https://voxya.com/company/naukri.com-fast-forwarded-services-complaints/14378,"Mar 24, 2021",Fake job call through fake email id hr@naukri-gulf.in for Al naboodah construction company LLC Dubai and taken ***** rupees on Naukri.com google pay for Naukri fast forward service and documents verification again demanding ***** Rs for medical checkup.This is fraud .please help.,OPEN
4,https://voxya.com/view-complaint/fraud-via-call/116448,https://voxya.com/user-complaint/122589,https://voxya.com/company/naukri.com-complaints/5950,"Mar 23, 2021","I got a call from naukri.com 
They said that they will give me a job I will have to register for this
And then they asked my documents 
I sended my documents to them 
Now the are saying to pay **** rs 
Otherwise they will do court case on me
What should I do now ?",OPEN
5,https://voxya.com/view-complaint/job-call-center/116399,https://voxya.com/user-complaint/122536,https://voxya.com/company/impect-international-service-private-limited-complaints/1230438,"Mar 23, 2021",Mujhe job dene ka vada kiya or mujhe kirti nagar office bulaya or interview liya or  offer letter bhi diya **/**/**** ko joining kaha benk me ac kholne ke liye **** manga or Campani ka add nahi diya bola sms ayega lekin nahi aya,OPEN
6,https://voxya.com/view-complaint/security-deposit-not-refunded/116340,https://voxya.com/user-complaint/122470,https://voxya.com/company/ftm-international-complaints/1230412,"Mar 22, 2021","In the Month of August ****, I had invested ***** in this company..They promised to Pay weekly Comission of around ***..But they paid till September *Rd week and then they Stopped paying.
The director send messages in whatsapp Group that they are facing some problems and they will resume payments after two weeks...
The kept changing Reasons for Delay and payment was never Given.
Its been march **** nothing yet, Customer care number rings but none picks my call I try every day .
They told they are refunding money to **** people each day from last month I just cannot imagine How big is this fraud or scam. 
no one responds, No updates, nothing
",OPEN
7,https://voxya.com/view-complaint/naukri-asking-for-money-/116264,https://voxya.com/user-complaint/122386,https://voxya.com/company/hcl-complaints/1230396,"Mar 21, 2021","Today evening I received call from Naukri saying I got shortlisted for HCL technologies. They interviewed me like **min and said I have to deposit the amount of Rs.****(****+****) for security reasons and document verification and they will refund the amount tomorrow itself once I get the kit.I paid the amount and got the joining confirmation letter also the training letter but then they again asked me to deposit rs.***** when I told them I will not deposit the amount and I want the refund amount as soon as possible they said the refund will be done on March **th March **** and cut the call.Later within *min I made a call to that number, which shook me that number is switched off (Hr manager's) also the person's (Naukri) number was out of coverage.
I need to get the amount back and you have to help me out of this,not only me to all the people out there who have lost money through fake calls job assurance.",OPEN
8,https://voxya.com/view-complaint/fraud-job/115984,https://voxya.com/user-complaint/122103,https://voxya.com/company/rabbitohs-international-complaints/1222472,"Mar 19, 2021",I was searching for job on naukri.com ...and i was called by * lady...she asked me for interview and after interview they said pay Rs.  ****/= for registration and account opening ...i paid the ****/= by cash first and then they asked for ****/= more for Insurance and i paid this amont also...then they said you will get your joining letter by mail but did not get any letter yet,OPEN
9,https://voxya.com/view-complaint/mlm-company-frud/115886,https://voxya.com/user-complaint/121994,https://voxya.com/company/osr-technology-complaints/1230243,"Mar 18, 2021","Osr echnology is networking bussiness company, its netwoking plan is - joining Fees - ***/- you will get **/- daily till ** days in the user wallet, after ***/- in user wallet you can withdraw to your bank ac. comapny was giving money but suddnely its website is down. https://www.osr-technology.com/login and we people are cheated by company.",OPEN
10,https://voxya.com/view-complaint/complaint-about-online-fraud-recruitment-agency-/115601,https://voxya.com/user-complaint/121693,https://voxya.com/company/osworld-technology-complaints/1230137,"Mar 16, 2021","This is a complaint about Osworld Technology (Plot no-***, N*, Block N*, IRC Village, Nayapalli, Bhubaneswar, Odisha ****** Entrepreneur identification number-**********, msme udyog aadhaar no-OD**E*******). First they register themselves as job providers in naukri.com then they take interviews and select the candidate and looting money from jobseekers in the name of giving jobs in Reputed banks,and big organisations in the name of registration and processing fees and they even don't pay salary to their own employee.

I seek your help and request you to kindly look into the subject matter.",OPEN
11,https://voxya.com/view-complaint/not-refunding-money/115186,https://voxya.com/user-complaint/120930,https://voxya.com/company/qnet-vihaan-india-pvt-ltd-complaints/1217218,"Mar 12, 2021","I was trapped by my upline in name of buissness partner of multinational company.They select me thru interview process & ask for money for creation of virtual id & registration of buissness.I transfer total *.** lakh.They join me with vihaan qnet thru otp on my mobile but changed email id dated **th Jan **.Thereafter engaged me in reading book & attending training on zoom.Later on I ask for virtual ID & registration detail ,my upline reply that you just focus on training & everything will be provided on your mail.But i became know thru internet that I was trapped & so firm & manage to get my new email & IR ID by saying that willing to change the product .Then mailed qnet support for canceling order ,Distributorship & refund of money & also do the same thru qnet site CVN ********-****.I provided them pan & bank detail also.Thereafter product dispatched but I returned as per their mail CVN ********-****.But they did not getting back one product that require e way bill as per customer care of blue line(AWB#VHN******) & i mailed qnet support regarding same but in vain & product still in Hyderabad.Whenever I called qnet india support ********** ,they just saying refund under process & will update you once product will be back.Since more than ** days i am looking for refund but getting mentally disturbed by their intentional casual attitude toward refund of money & thus suffering economically harassment.I even mailed to qnet global support & ncd india qnet but could no get any respond.
Plz help me out from trap of Vihaan Qnet & the uplines so that I could get my refund back.",OPEN
12,https://voxya.com/view-complaint/cheque-bounced/115149,https://voxya.com/user-complaint/121236,https://voxya.com/company/strokx-technologies-complaints/1229997,"Mar 12, 2021","I joined a paid training program in strokx technologies after an interview in our college.They promised to give me training in Machine Learning for the payment of **,*** Rs but the promise was never kept.   I received Cheque of **** Rs from Mr Abhijith,CEO of Strokx technologies  after they failed to complete my training process.But when i submitted the Cheque on the given time there was no money in the account.When i contacted the officials they asked for a couple of deadlines and after a while they stopped responding.I resquest a resolution on this matter.

adress of company:
Strokx Technologies
*nd Floor, Panachikkal Building, near reliance smart, opposite Punjab national bank, Vazhakkala, Kochi, Kerala ******",OPEN
13,https://voxya.com/view-complaint/fake-job/115123,https://voxya.com/user-complaint/121206,https://voxya.com/company/prizm-global-services-on-behalf-of-amazon-complaints/1228117,"Mar 12, 2021","I've recieved a call for amazon company, but when I went to the given address, it was a different view. Many candidates were there, so I also stopped and given the interview. After the interview, they took ****rs as training fees and given me a fake offer later. They also told me that money will be refunded on your first salary. They gave me a number, I called him. He told me to visit head office where I've got to know there is no vacancy for the post i got selected.",OPEN
